Title,Genre,parent_genre_str,main_parent_genre,metadata,poster,year_premiere,IMDB Score,Runtime,runtime_normalized,primary_language_capitalized,Premiere,Director,Plot
the larva island movie,animation,animation,animation,movie title is the larva island movie. genre is animation. language is english.,https://m.media-amazon.com/images/M/MV5BMWQxOGE1NDctMTMyNC00YzZiLThmMjYtMTYxNGU4ZTlhNWRmXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.1,90,0.4195121951219512,English,"July 23, 2020",Byoung-Wook Ahn,"In this movie sequel to the hit series, Chuck returns home and talks to a reporter about life on the island with zany larva pals Red and Yellow"
#realityhigh,comedy,comedy,comedy,movie title is #realityhigh. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BNDcwMjViZDktMjM4MC00NzdlLWIxZDEtMTlkMGUxYTdmNDY1XkEyXkFqcGc@._V1_SX300.jpg,2017.0,5.2,99,0.46341463414634143,English,"September 8, 2017",Fernando Lebrija,"High-achieving high-school senior Dani Barnes dreams of getting into UC Davis, the world's top veterinary school. Then a glamorous new friend draws her into a Southern California scene that threatens everything she's worked for."
desperados,romantic comedy,"comedy, romance",comedy,"movie title is desperados. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BNjYwZGM2MTQtOTdlZi00MmEzLTk5ZjYtMTA4YTFiYjQ2ODk5XkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.2,106,0.4975609756097561,English,"July 3, 2020",LP,"A panicked young woman, with her reluctant friends in tow, rushes to Mexico to try and delete a ranting email she sent to her new boyfriend."
father of the year,comedy,comedy,comedy,movie title is father of the year. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BNTMzNjE4NjE2MV5BMl5BanBnXkFtZTgwOTc1NjE4NTM@._V1_SX300.jpg,2018.0,5.2,94,0.43902439024390244,English,"July 20, 2018",Tyler Spindel,"Before he leaves for NYC, college valedictorian Ben visits his trailer-park loser dad, then argues with Larry about whose dad can kick the other dad's ass. Loser dad hears of this and tries to beat up doormat dad. Chaos follows."
firebrand,drama,drama,drama,movie title is firebrand. genre is drama. language is marathi.,https://m.media-amazon.com/images/M/MV5BZWZlNGE3MjgtNTg4MS00M2NjLTg3NzYtMDNlOWUxNGUxNDhkXkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.2,112,0.526829268292683,Marathi,"February 22, 2019",Karim Aïnouz,"Katherine Parr, the sixth wife of King Henry VIII, is named regent while the tyrant battles abroad. When the king returns, increasingly ill and paranoid, Katherine finds herself fighting for her own survival."
ghost lab,horror,horror,horror,movie title is ghost lab. genre is horror. language is thai.,https://m.media-amazon.com/images/M/MV5BNGNmODAwYTEtMGVmMi00ZTk4LThlYjAtYWVmZjlkOGVhNDA4XkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.2,117,0.5512195121951219,Thai,"May 26, 2021",Paween Purijitpanya,"After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist."
girlfriend's day,comedy,comedy,comedy,movie title is girlfriend's day. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMzk1MjFmMWQtNWYwOC00OTBjLTk1NmItNTU0NzBlYzg4OTFiXkEyXkFqcGc@._V1_SX300.jpg,2017.0,5.2,70,0.32195121951219513,English,"February 14, 2017",Michael Paul Stephenson,"Ray Wentworth, a now down-on-his-luck romance-card writer, decides to recapture the feelings that once made him the greatest with the creation of a new holiday: Girlfriend's Day."
handsome: a netflix mystery movie,comedy,comedy,comedy,movie title is handsome: a netflix mystery movie. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMzIyMzA5MDU3M15BMl5BanBnXkFtZTgwNjk1MjA4MTI@._V1_SX300.jpg,2017.0,5.2,81,0.375609756097561,English,"May 5, 2017",Jeff Garlin,Gene Handsome is an LA homicide detective who tries to make sense of his life as he solves crime. Handsome's knack for solving mysteries is matched only by his inability to make sense of his own problems.
hubie halloween,comedy,comedy,comedy,movie title is hubie halloween. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BZTlkMDdiNmUtOTQwYS00ZTE5LWJlMWEtNzMyN2M2MWIzZTMzXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.2,103,0.48292682926829267,English,"October 7, 2020",Steven Brill,"Despite his devotion to his hometown of Salem (and its Halloween celebration), Hubie Dubois is a figure of mockery for kids and adults alike. But this year, something is going bump in the night, and it's up to Hubie to save Hallow..."
ibiza,comedy,comedy,comedy,movie title is ibiza. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMTczMTA5ODMxOV5BMl5BanBnXkFtZTgwNTgwNDkzNTM@._V1_SX300.jpg,2018.0,5.2,94,0.43902439024390244,English,"May 25, 2018",Alex Richanbach,A young American woman and her two best friends seek out a hot DJ in Spain.
rim of the world,science fiction adventure,"scifi, adventure",scifi,"movie title is rim of the world. genre is scifi, adventure. language is english.",https://m.media-amazon.com/images/M/MV5BMjAyNTE0MTQzNF5BMl5BanBnXkFtZTgwMjc2MzUwODM@._V1_SX300.jpg,2019.0,5.2,98,0.4585365853658536,English,"May 24, 2019",McG,Four misfit campers must band together and conquer their fears in order to save the world during an alien invasion.
sandy wexler,comedy,comedy,comedy,movie title is sandy wexler. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMTY1NDIwMjQ1OF5BMl5BanBnXkFtZTgwMzUzMjI4MTI@._V1_SX300.jpg,2017.0,5.2,131,0.6195121951219512,English,"April 14, 2017",Steven Brill,"Sandy Wexler is a talent manager working in Los Angeles in the 1990s, diligently representing a group of eccentric clients on the fringes of show business."
see you yesterday,science fiction,scifi,scifi,movie title is see you yesterday. genre is scifi. language is english.,https://m.media-amazon.com/images/M/MV5BMTI1OGY0NjgtN2JhYS00OGRhLTliNGYtYTcwZDIwMDhkOGZiXkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.2,87,0.4048780487804878,English,"May 17, 2019",Stefon Bristol,"Two Brooklyn teenage prodigies, C.J. Walker and Sebastian Thomas, build makeshift time machines to save C.J.'s brother, Calvin, from being wrongfully killed by a police officer."
still laugh-in: the stars celebrate,variety show,other,other,movie title is still laugh-in: the stars celebrate. genre is other. language is english.,https://m.media-amazon.com/images/M/MV5BOTAzZGYwY2ItNDUzZC00OTc5LWI2OGYtNDQwOGMwMWE4MjBmXkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.2,60,0.27317073170731704,English,"May 14, 2019",,"Hollywood's finest pay tribute to ""Rowan and Martin's Laugh-In"" for an uncensored and unforgettable celebration at The Dolby Theater."
"strip down, rise up",documentary,documentary,documentary,"movie title is strip down, rise up. genre is documentary. language is english.",https://m.media-amazon.com/images/M/MV5BMmExZWE1ZjUtN2EzMC00ZmRkLTk2YTgtZTkzZGE2YjE0ZTRlXkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.2,112,0.526829268292683,English,"February 5, 2021",Michèle Ohayon,Academy Award Nominated director Michèle Ohayon's Verite film follows women of all ages and ethnic backgrounds who heal trauma and body image shame through sensual dance and daring pole dance artistry.
tall girl,"comedy, drama","comedy, drama",comedy,"movie title is tall girl. genre is comedy, drama. language is english.",https://m.media-amazon.com/images/M/MV5BNmUwYzA0MzQtMjU2ZS00OWI0LWEzZjctYWE0NDdhOTFiNDc4XkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.2,102,0.47804878048780486,English,"September 13, 2019",Nzingha Stewart,"Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand t..."
the beast,drama,drama,drama,movie title is the beast. genre is drama. language is italian.,https://m.media-amazon.com/images/M/MV5BYWMwNjdiYmItNDNiNS00ODEyLWI1MDctYjdhMTI1MGZkNGRkXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.2,99,0.46341463414634143,Italian,"November 27, 2020",Bertrand Bonello,In the near future artificial intelligence is in control of everyone's lives and human emotions are perceived as a threat.
the week of,comedy,comedy,comedy,movie title is the week of. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMjUwMjczMzY5OV5BMl5BanBnXkFtZTgwMjgyMTczNTM@._V1_SX300.jpg,2018.0,5.2,116,0.5463414634146341,English,"April 27, 2018",Robert Smigel,"Two fathers with opposing personalities come together to celebrate the wedding of their children. They are forced to spend the longest week of their lives together, and the big day cannot come soon enough."
a christmas prince: the royal wedding,romantic comedy,"comedy, romance",comedy,"movie title is a christmas prince: the royal wedding. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BODU5M2FmMmUtMjQ1ZC00YTAzLWJiYjEtMTk5ZjI3MTYzZWQ0XkEyXkFqcGc@._V1_SX300.jpg,2018.0,5.3,92,0.4292682926829268,English,"November 30, 2018",John Schultz,"A year after helping Richard get to the throne, Amber is about to become his wife. But is she really made to be queen?"
back to school,comedy,comedy,comedy,movie title is back to school. genre is comedy. language is french.,https://m.media-amazon.com/images/M/MV5BMGFhMzM3MDYtNzU2Mi00MTczLWIzOGMtNzU0NjZiYjQ3NWU5XkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.3,83,0.3853658536585366,French,"August 30, 2019",Alan Metter,"To encourage his uninspired son to get through college, a wealthy and fun loving, but somewhat obnoxious, businessman decides to enter the school as a student himself."
dangerous lies,thriller,thriller,thriller,movie title is dangerous lies. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BYWNhYmRlMTEtMTNlNi00NzYxLWEyM2ItNjI0MzFhMzU4ODQzXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.3,97,0.4536585365853658,English,"April 30, 2020",Michael M. Scott,"When a wealthy elderly man dies and unexpectedly leaves his estate to his new caregiver, she's drawn into a web of deception and murder. If she's going to survive, she'll have to question everyone's motives - even the people she l..."
gunjan saxena: the kargil girl,drama,drama,drama,movie title is gunjan saxena: the kargil girl. genre is drama. language is hindi.,https://m.media-amazon.com/images/M/MV5BZWQwYzY1MjEtOTczOS00YzU1LTkyYWEtOTYxNWQwZTYwZTI4XkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.3,112,0.526829268292683,Hindi,"August 12, 2020","Sharan Sharma, Grswkk",Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War
intuition,thriller,thriller,thriller,movie title is intuition. genre is thriller. language is spanish.,https://m.media-amazon.com/images/M/MV5BYTE0NDdkNGItM2JhMi00NTZmLWFkOTgtNmIzNzlmNjI1MmYxXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.3,116,0.5463414634146341,Spanish,"May 28, 2020",Alejandro Montiel,"Pipa begins her career as a police detective alongside her mentor, the controversial detective Francisco Juánez. Together they must solve the violent murder of a 19-year-old girl."
the most assassinated woman in the world,thriller,thriller,thriller,movie title is the most assassinated woman in the world. genre is thriller. language is french.,https://m.media-amazon.com/images/M/MV5BN2EyODRiODktMmU3OS00OTlmLWFlYmItOWM2ZjFiYzlmM2U3XkEyXkFqcGc@._V1_SX300.jpg,2018.0,5.3,102,0.47804878048780486,French,"September 7, 2018",Franck Ribière,"Paula Maxa is the Parisian Grand Guignol Theatre's leading lady, famous for being murdered on stage every day. But is there a link between the theatre and a series of gruesome real-life murders?"
things heard & seen,horror,horror,horror,movie title is things heard & seen. genre is horror. language is english.,https://m.media-amazon.com/images/M/MV5BYTFlOThmZWYtYTk4Yi00MzFlLWJhOTEtMTU0NTcxNWJiZjRhXkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.3,121,0.5707317073170731,English,"April 29, 2021","Shari Springer Berman, Robert Pulcini",A woman begins to suspect that her home harbors a dark secret.
"to each, her own",romantic comedy,"comedy, romance",comedy,"movie title is to each, her own. genre is comedy, romance. language is french.",https://m.media-amazon.com/images/M/MV5BMjhkNmM5MTctMTI5Ny00ZTcyLWJhYjEtNDQ4ZTFiOTA3ZmM2XkEyXkFqcGc@._V1_SX300.jpg,2018.0,5.3,95,0.44390243902439025,French,"June 24, 2018",Myriam Aziza,"Simone plans to inform her conservative Jewish family that she's a lesbian, but as she proceeds with coming out she finds herself attracted to a man."
who would you take to a deserted island?,drama,drama,drama,movie title is who would you take to a deserted island?. genre is drama. language is spanish.,https://m.media-amazon.com/images/M/MV5BZTIzZjhiNTEtYjk3Ni00ZjM2LWFmMGEtZmQwODIyZmNjNjYxXkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.3,93,0.43414634146341463,Spanish,"April 12, 2019",Jota Linares,Four friends have lived in a world of their own for 8 years as they shared a flat in Madrid. They prepare to face changes to their lives at the end of the summer.
xoxo,drama,drama,drama,movie title is xoxo. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BNjkzNzI4MjQ5NV5BMl5BanBnXkFtZTgwNjc3MzM2OTE@._V1_SX300.jpg,2016.0,5.3,92,0.4292682926829268,English,"August 26, 2016",Christopher Louie,"Six strangers' lives collide in one frenetic, dream-chasing, hopelessly romantic night."
a babysitter's guide to monster hunting,"comedy, fantasy, family","comedy, family, fantasy",comedy,"movie title is a babysitter's guide to monster hunting. genre is comedy, family, fantasy. language is english.",https://m.media-amazon.com/images/M/MV5BZGY2MmRjYjEtMTUxMi00NGY0LThiOGItNmNlMDIwN2I1MGIwXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.4,98,0.4585365853658536,English,"October 15, 2020",Rachel Talalay,A babysitter embarks on a mission to save a child who's been abducted by monsters.
a christmas prince: the royal baby,romantic comedy,"comedy, romance",comedy,"movie title is a christmas prince: the royal baby. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BNzEyM2UyMTYtZDI4ZS00MzM2LWE0MjgtMTU4YjI5NmNkMjU2XkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.4,85,0.39512195121951216,English,"December 5, 2019",John Schultz,"It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their f..."
despite everything,comedy,comedy,comedy,movie title is despite everything. genre is comedy. language is spanish.,https://m.media-amazon.com/images/M/MV5BMTY2MDQzMjc0MV5BMl5BanBnXkFtZTgwODczNTU2NzM@._V1_SX300.jpg,2019.0,5.4,78,0.36097560975609755,Spanish,"May 3, 2019",Gabriela Tagliavini,"Four different sisters who all have their own little secrets attend their mother's funeral in Madrid, where the will reveals that their dad was not their biological father, so they go on a quest together seeking their biological f..."
dolly kitty and those twinkling stars,drama,drama,drama,movie title is dolly kitty and those twinkling stars. genre is drama. language is hindi.,https://m.media-amazon.com/images/M/MV5BOGY2MGFlZWYtYWEwZC00YTliLWFjMDQtNGM3ZmU5ZmIyOTU3XkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.4,120,0.5658536585365853,Hindi,"September 18, 2020",Alankrita Shrivastava,"A disillusioned Delhi wife and her new-in-town cousin navigate damning secrets, dreams and their thorny dynamic on their respective roads to freedom."
freaks: you're one of us,supernatural drama,drama,drama,movie title is freaks: you're one of us. genre is drama. language is german.,https://m.media-amazon.com/images/M/MV5BNGJkOGFlMDctMDUwNi00ZWVhLWI1MDAtY2ExNDYwNjM4YmU1XkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.4,92,0.4292682926829268,German,"September 2, 2020",Felix Binder,"Tipped by a mysterious tramp, a meek fry cook discovers she has superpowers -- and uncovers an unsavory, vast conspiracy."
"game over, man!","action, comedy","comedy, action",comedy,"movie title is game over, man!. genre is comedy, action. language is english.",https://m.media-amazon.com/images/M/MV5BMTUxNjI4MDU2OF5BMl5BanBnXkFtZTgwMDAzMzA1NDM@._V1_SX300.jpg,2018.0,5.4,101,0.47317073170731705,English,"March 23, 2018",Kyle Newacheck,Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.
guilty,thriller,thriller,thriller,movie title is guilty. genre is thriller. language is hindi.,https://m.media-amazon.com/images/M/MV5BMTRmYmVjODctNTY1YS00MjQ2LTk5ZmMtMjMyYTkzYzcyNzkxXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.4,119,0.5609756097560975,Hindi,"March 6, 2020",Ruchi Narain,"When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth."
in the tall grass,horror,horror,horror,movie title is in the tall grass. genre is horror. language is english.,https://m.media-amazon.com/images/M/MV5BN2YyZTk3ZjUtMTgxYS00NGVlLThmNDQtMjRjNmMwOTc0MzdhXkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.4,101,0.47317073170731705,English,"October 4, 2019",Vincenzo Natali,"After hearing a young boy's cry for help, a sister and brother venture into a vast field of tall grass in Oklahoma but soon discover there may be no way out...and that something evil lurks within."
